trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
183,False,"{'a': 0.5, 'e': 0.02625234396568796}",20,6,20.399143406637002,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.02573251272635994}",25,10,26.16126935571703,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.025222974835227212}",25,7,29.8619826504471,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.024723526470339388}",20,0,30.89614483904491,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
187,False,"{'a': 0.5, 'e': 0.024233967845691113}",30,1,-12.92974962985855,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 1}",1
188,False,"{'a': 0.5, 'e': 0.023754103131304997}",25,15,19.491127387460566,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.023283740374897}",20,12,14.527537848890518,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.02282269142509297}",20,16,7.222017201040256,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.02237077185616559}",30,17,25.583080021774084,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.02192780089426161}",20,0,28.6305252421828,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
193,False,"{'a': 0.5, 'e': 0.021493601345089923}",35,15,25.266051263428583,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.021067999523041434}",25,17,13.64978096965921,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.020650825181712566}",20,9,14.881576073213719,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.02024191144580439}",20,12,-7.12321424037701,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.019841094744370288}",20,12,-7.062580394062982,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.01944821474538539}",25,4,27.644629442187753,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
